split,repeat,fold,cv_mode,model,n_features_final,inner_cv_auc,roc_auc,pr_auc,accuracy,f1,mcc,sensitivity,specificity,balanced_accuracy,threshold,tp,fp,tn,fn,ensemble_members
12,3,2,stratified_group_kfold_similarity_aware,svm_rbf,300,0.7915083629478007,0.7298460144927535,0.57925749267992,0.6971830985915493,0.5656565656565656,0.33698367715151434,0.6086956521739131,0.7395833333333334,0.6741394927536233,0.44512881139596994,28,25,71,18,
12,3,2,stratified_group_kfold_similarity_aware,nu_svm,300,0.7927836775018752,0.7746829710144928,0.6339712845737937,0.7394366197183099,0.6021505376344086,0.40851877293585653,0.6086956521739131,0.8020833333333334,0.7053894927536233,0.44000000000000006,28,19,77,18,
12,3,2,stratified_group_kfold_similarity_aware,rf,300,0.8207094467490005,0.7900815217391305,0.6334144032844373,0.7253521126760564,0.6213592233009708,0.4155200267831891,0.6956521739130435,0.7395833333333334,0.7176177536231885,0.4829689205210729,32,25,71,14,
12,3,2,stratified_group_kfold_similarity_aware,extra_trees,300,0.8348182236656592,0.8240489130434783,0.7014959296143186,0.7605633802816901,0.6730769230769231,0.49629185429357703,0.7608695652173914,0.7604166666666666,0.760643115942029,0.4330785363345177,35,23,73,11,
12,3,2,stratified_group_kfold_similarity_aware,hist_gb,300,0.8021583493765471,0.7810235507246377,0.5887312870629817,0.7605633802816901,0.6530612244897959,0.47337444407229634,0.6956521739130435,0.7916666666666666,0.743659420289855,0.5097253332520543,32,20,76,14,
12,3,2,stratified_group_kfold_similarity_aware,xgb,300,0.8104373780482154,0.7740036231884058,0.5737925393312359,0.7464788732394366,0.6470588235294118,0.4575353813362842,0.717391304347826,0.7604166666666666,0.7389039855072463,0.51,33,23,73,13,
12,3,2,stratified_group_kfold_similarity_aware,weighted_ensemble,300,0.8057041061242741,0.786911231884058,0.636685511755544,0.7746478873239436,0.6521739130434783,0.4855072463768116,0.6521739130434783,0.8333333333333334,0.7427536231884058,0.5594716000288159,30,16,80,16,"logreg_l2,svm_rbf,nu_svm,rf,extra_trees,hist_gb,xgb"
13,3,3,stratified_group_kfold_similarity_aware,logreg_l2,300,0.736432148590403,0.7786059629331185,0.7662718316011699,0.7375886524822695,0.7175572519083969,0.4743936051802515,0.6911764705882353,0.7808219178082192,0.7359991941982272,0.4856565995618781,47,16,57,21,
13,3,3,stratified_group_kfold_similarity_aware,svm_rbf,300,0.7449522349092611,0.8005640612409348,0.7757090208387023,0.7304964539007093,0.6607142857142857,0.48339474350798745,0.5441176470588235,0.9041095890410958,0.7241136180499597,0.5419415999287232,37,7,66,31,
13,3,3,stratified_group_kfold_similarity_aware,nu_svm,300,0.7547175995457618,0.7985495568090251,0.7697026528990791,0.7659574468085106,0.7272727272727273,0.5403537760141826,0.6470588235294118,0.8767123287671232,0.7618855761482675,0.47941140550981276,44,9,64,24,
13,3,3,stratified_group_kfold_similarity_aware,rf,300,0.7964709441402184,0.8609991941982272,0.8538252308502284,0.8014184397163121,0.8055555555555556,0.6078370027681105,0.8529411764705882,0.7534246575342466,0.8031829170024174,0.35,58,18,55,10,
13,3,3,stratified_group_kfold_similarity_aware,extra_trees,300,0.8126244160513778,0.8454875100725222,0.8156458132445552,0.7943262411347518,0.7883211678832117,0.5884011753870093,0.7941176470588235,0.7945205479452054,0.7943190975020145,0.3929256720935487,54,15,58,14,
13,3,3,stratified_group_kfold_similarity_aware,hist_gb,300,0.7748526043864592,0.8432715551974215,0.8228704582879224,0.7446808510638298,0.7272727272727273,0.4884787706348199,0.7058823529411765,0.7808219178082192,0.7433521353746979,0.44439613222780844,48,16,57,20,
13,3,3,stratified_group_kfold_similarity_aware,xgb,300,0.7848475319730087,0.8515310233682515,0.8394381197933374,0.7730496453900709,0.7777777777777778,0.5508901473592709,0.8235294117647058,0.726027397260274,0.7747784045124899,0.4235013425350189,56,20,53,12,
